time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-0.0118007582031,0.00907171614626,1.01888609883,0.436520544472,0.446819748356,0.0,-0.641797238485,0.46118247502,0.440311077122,-10.8142997827,-10.8171684473,0.0,899.962036317,0.0679727514768,899.839312897,0.0445568359286
0.12000000000000001,-0.0505488056949,0.0374233598256,1.05604742076,5.37973099207,5.39661519106,0.0,-0.633721281879,0.24149638374,0.808709231204,-19.271867306,-19.2770966944,0.0,899.943536913,0.28404499951,899.788996792,0.107968803248
0.18,-0.0851950861525,0.0458962791622,1.10345415608,2.25601058707,2.25702982743,0.0,-1.08792578923,0.127523683901,0.662741214363,-24.3556880875,-24.351857845,0.0,899.918736936,-0.197490315822,900.248147803,0.0218063597552
0.23999999999999996,-0.183771179024,0.0321080993049,1.1437998533,1.84542282979,1.84547928081,0.0,-2.2139099745,-0.578133382983,0.654025890215,-26.8825757048,-26.8773689702,0.0,899.916637076,-0.433838897393,900.09311418,-0.124496642269
0.3,-0.357980074006,-0.00454899245034,1.16910005962,0.430826572641,0.430260059486,0.0,-3.54518698041,-0.40853238329,0.274755779245,-28.0164834884,-28.0087817926,0.0,899.902805803,-0.196131342016,900.187684574,-0.121151740665
0.36000000000000004,-0.576693311917,-0.0238339354112,1.20536761068,5.06260681697,5.06222636517,0.0,-3.41237424706,-0.514000769902,0.871613604539,-28.4999835102,-28.490394799,0.0,899.879725446,-0.0314040695732,900.214463307,-0.114874721336
0.4200000000000001,-0.741540680631,-0.0570295824671,1.2458996501,3.35493541662,3.35503323146,0.0,-2.1531630252,-0.327797095658,0.602493331614,-28.7012210609,-28.6895508721,0.0,899.79891051,-0.217512481058,900.205505251,-0.10035916433
0.48000000000000015,-0.874420467204,-0.0787622857722,1.30209250584,1.63209269997,1.63292599969,0.0,-2.6045306458,-0.617453140498,1.07437171362,-28.7841491451,-28.7780534459,0.0,900.131238694,-0.137665737188,900.19954619,-0.138024002995
0.5400000000000001,-1.06950304772,-0.109206964104,1.35627347918,6.18761085595,6.18882835168,0.0,-3.72998760116,-0.246240340231,0.982183542704,-28.8189433531,-28.8113003288,0.0,899.965158795,-0.193387628363,900.236979195,-0.262018142718
0.6000000000000002,-1.2778993793,-0.13492755226,1.43117291681,4.45825504671,4.4599083881,0.0,-2.94067905009,-0.677741541529,1.22478809667,-28.82883552,-28.8223176033,0.0,899.826053418,-0.245253358688,900.005042421,-0.41652935408
0.6600000000000003,-1.42046541756,-0.161796373657,1.50107700702,2.72829668826,2.73053528696,0.0,-2.06551794759,-0.243036370287,1.40126355357,-28.8391704056,-28.8237571594,0.0,899.663049558,-0.111498771291,900.337213856,-0.652007928652
0.7200000000000003,-1.57084823672,-0.19193930782,1.59216518327,0.997821704573,1.00097801377,0.0,-3.13926245161,-0.645415523095,1.36525405055,-28.8446070548,-28.8295174102,0.0,899.936682695,-0.454619652888,900.40074228,-0.776034999159
0.7800000000000004,-1.78481001967,-0.215250390093,1.68019839851,5.55028522178,5.5543321484,0.0,-3.67852244928,-0.325655513286,1.79265616299,-28.8465320254,-28.832081216,0.0,899.947223158,0.085740160742,900.384601474,-0.662190037999
0.8400000000000004,-1.9711906836,-0.249353624618,1.78509037962,3.81954651171,3.82439208368,0.0,-2.44220952965,-0.554268873617,1.55178833557,-28.8443416186,-28.832719733,0.0,899.925389982,-0.113134356504,900.226960785,-0.56857031771
0.9000000000000005,-2.10284233523,-0.271297859585,1.89333308104,2.08895500843,2.0945201878,0.0,-2.29697809993,-0.465389358782,2.11565210838,-28.8415145592,-28.8290027614,0.0,899.714989436,-0.477253248431,900.124761201,-0.229580773514
0.9600000000000005,-2.279692841,-0.306613775445,2.01039099021,0.358412980613,0.364802287976,0.0,-3.57936679015,-0.423030062138,1.81844700609,-28.8436892077,-28.8280776117,0.0,899.746672789,-0.435752440701,900.301363789,-0.752196563159
1.0200000000000005,-2.49694257148,-0.329761992346,2.13914703011,4.91096949469,4.91832844768,0.0,-3.31975191372,-0.618458996966,2.35589937804,-28.8440011636,-28.8270187297,0.0,899.710876281,-0.686370230362,900.270539051,-0.493528709737
1.0800000000000005,-2.65642340297,-0.364604751543,2.26877594106,3.18030325472,3.18862381741,0.0,-2.11668862124,-0.325817311964,2.16709982053,-28.8451048258,-28.8306070559,0.0,899.923518187,-0.360298799295,900.322228666,-0.623727851432
1.1400000000000006,-2.7937049054,-0.391472538274,2.41684073595,1.44963508232,1.45882663863,0.0,-2.76160034307,-0.710276074795,2.51137289909,-28.8435287269,-28.8289847356,0.0,899.759957634,-0.606907514802,900.214811025,-0.392192360656
1.2000000000000006,-2.99579629067,-0.423218484294,2.56057505296,6.00222976309,6.01222696681,0.0,-3.75490211215,-0.294997643687,2.5634458261,-28.8426519059,-28.8309326475,0.0,899.898022885,-0.111713011663,900.202547862,-0.231618608642
1.2600000000000007,-3.19950319215,-0.45558282976,2.72571914731,4.27171371773,4.28232426012,0.0,-2.80153714188,-0.744035622368,2.64482528824,-28.8408736454,-28.8329172826,0.0,899.960754297,-0.0785130455175,900.127511812,-0.282519282465
1.3200000000000007,-3.33780211249,-0.484735742348,2.88609111102,2.54117868686,2.5523012567,0.0,-2.10343823655,-0.356681533231,2.96597946498,-28.8444221533,-28.8349544275,0.0,900.025467931,-0.04529391544,900.353706746,0.0220406506341
